"taxon_name","n","native_to_europe","wcvp_accepted_id.x","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","tiles","area_km2","wcvp_status","wcvp_accepted_id.y","taxon_name.y","min_fr","rel_status"
"Abies sachalinensis",6,FALSE,381990,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",6,6783.00151446717,"Accepted",381990,"Abies sachalinensis",1860,"Genus in Europe"
"Abies veitchii",8,FALSE,382044,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",33,51844.321696345,"Accepted",382044,"Abies veitchii",2012,"Genus in Europe"
"Acantholimon avenaceum",1,FALSE,2614618,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Acantholimon caryophyllaceum",1,FALSE,2614658,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Acantholimon libanoticum",1,FALSE,2614805,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Acantholimon ulicinum",1,FALSE,2614968,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",1,1588.42942568447,"Accepted",2614968,"Acantholimon ulicinum",NA,"Genus in Europe"
"Acanthophyllum persicum",1,FALSE,3225392,"Caryophyllaceae","Acanthophyllum",NA,NA,NA,NA,1,3572.22449349669,"Accepted",3225392,"Acanthophyllum persicum",NA,"Genus in Europe"
"Acer buergerianum",1,FALSE,2615419,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",12,28368.3824366883,"Accepted",2615419,"Acer buergerianum",NA,"Genus in Europe"
"Acer carpinifolium",1,FALSE,2615502,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",9,12082.8969240036,"Accepted",2615502,"Acer carpinifolium",NA,"Genus in Europe"
"Acer circinatum",5,FALSE,2615530,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",6,8325.10633478966,"Accepted",2615530,"Acer circinatum",NA,"Genus in Europe"
"Acer davidii",1,FALSE,2615577,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",29,50333.6267797311,"Accepted",2615577,"Acer davidii",NA,"Genus in Europe"
"Acer davidii subsp. grosseri",1,FALSE,2615579,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",29,50333.6267797311,"Accepted",2615579,"Acer davidii subsp. grosseri",NA,"Genus in Europe"
"Acer glabrum",1,FALSE,2615664,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Acer japonicum",4,FALSE,2615790,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",53,92579.9668678964,"Accepted",2615790,"Acer japonicum",2008,"Genus in Europe"
"Acer macrophyllum",5,FALSE,2615900,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",17,30116.707642133,"Accepted",2615900,"Acer macrophyllum",NA,"Genus in Europe"
"Acer mandshuricum",1,FALSE,2615913,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",4,8203.51256677354,"Accepted",2615913,"Acer mandshuricum",NA,"Genus in Europe"
"Acer miyabei",1,FALSE,2615945,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Acer monspessulanum subsp. cinerascens",2,FALSE,2615980,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Acer monspessulanum subsp. ibericum",1,FALSE,2615988,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",655,1512515.26732327,"Accepted",2615988,"Acer monspessulanum subsp. ibericum",NA,"Genus in Europe"
"Acer monspessulanum subsp. microphyllum",4,FALSE,2615994,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",655,1512515.26732327,"Accepted",2615994,"Acer monspessulanum subsp. microphyllum",NA,"Genus in Europe"
"Acer negundo",42,FALSE,2616024,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",2666,5170785.663057,"Accepted",2616024,"Acer negundo",1688,"Genus in Europe"
"Acer oblongum",1,FALSE,2616086,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Acer palmatum",8,FALSE,2616153,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",206,377693.495369079,"Accepted",2616153,"Acer palmatum",1950,"Genus in Europe"
"Acer pensylvanicum",3,FALSE,2616210,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",20,26995.2395973544,"Accepted",2616210,"Acer pensylvanicum",2008,"Genus in Europe"
"Acer pictum",1,FALSE,2616218,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",11,19853.9754031368,"Accepted",2616218,"Acer pictum",2008,"Genus in Europe"
"Acer pseudosieboldianum",1,FALSE,2616285,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",3,5730.60100458485,"Accepted",2616285,"Acer pseudosieboldianum",2017,"Genus in Europe"
"Acer rubrum",8,FALSE,2616329,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",131,246721.618216979,"Accepted",2616329,"Acer rubrum",2006,"Genus in Europe"
"Acer saccharinum",29,FALSE,2616367,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",749,1425537.93930125,"Accepted",2616367,"Acer saccharinum",1807,"Genus in Europe"
"Acer saccharum",8,FALSE,2616387,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",39,79012.0895126943,"Accepted",2616387,"Acer saccharum",1912,"Genus in Europe"
"Acer spicatum",2,FALSE,2616481,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",11,22171.7803456142,"Accepted",2616481,"Acer spicatum",1931,"Genus in Europe"
"Acer tataricum subsp. ginnala",10,FALSE,2616532,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",1202,2182261.14725144,"Accepted",2616532,"Acer tataricum subsp. ginnala",NA,"Genus in Europe"
"Acer tataricum subsp. semenovii",2,FALSE,2616538,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",1202,2182261.14725144,"Accepted",2616538,"Acer tataricum subsp. semenovii",NA,"Genus in Europe"
"Acer undulatum",7,FALSE,2616614,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Acer velutinum",2,FALSE,2616618,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1,2342.91412412461,"Accepted",2616618,"Acer velutinum",NA,"Genus in Europe"
"Achillea alpina",3,FALSE,2906148,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",3,5247.19702893522,"Accepted",2906148,"Achillea alpina",NA,"Genus in Europe"
"Achillea biserrata",4,FALSE,3109820,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Achillea cucullata",1,FALSE,3109770,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Achillea filipendulina",11,FALSE,3109923,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",964,1907748.82676868,"Accepted",3109923,"Achillea filipendulina",1870,"Genus in Europe"
"Achillea goniocephala",1,FALSE,3109940,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Achillea phrygia",3,FALSE,3110097,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Achillea ptarmicifolia",2,FALSE,3110131,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Achillea sintenisii",1,FALSE,3110174,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Achillea sipikorensis",1,FALSE,3110175,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Achillea tenuifolia",4,FALSE,3110192,"Asteraceae","Achillea","Perennial","Woody","Woody","Perennial",2,2770.96536513208,"Accepted",3110192,"Achillea tenuifolia",NA,"Genus in Europe"
"Achillea teretifolia",1,FALSE,3110194,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Achillea wilhelmsii",1,FALSE,3109777,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Achnatherum pekinense",1,FALSE,387140,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Achnatherum sibiricum",1,FALSE,387154,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aconitum barbatum",2,FALSE,2618419,"Ranunculaceae","Aconitum",NA,"Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aconitum carmichaelii",2,FALSE,2618501,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",27,43532.563855325,"Accepted",2618501,"Aconitum carmichaelii",NA,"Genus in Europe"
"Aconitum fischeri",1,FALSE,2618710,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aconitum orientale",2,FALSE,2619270,"Ranunculaceae","Aconitum",NA,"Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aconitum volubile",1,FALSE,2619747,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aconitum yuparense",1,FALSE,2619809,"Ranunculaceae","Aconitum","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Actaea cordifolia",1,FALSE,2620528,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",4,8146.61984624057,"Accepted",2620528,"Actaea cordifolia",NA,"Genus in Europe"
"Actaea dahurica",1,FALSE,2620530,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Actaea japonica",1,FALSE,2620541,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Actaea pachypoda",3,FALSE,2620557,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",1,1621.83943485189,"Accepted",2620557,"Actaea pachypoda",NA,"Genus in Europe"
"Actaea racemosa",2,FALSE,2620567,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",9,14872.9946531578,"Accepted",2620567,"Actaea racemosa",1993,"Genus in Europe"
"Actaea rubra",4,FALSE,2620570,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",286,281738.916822957,"Accepted",2620570,"Actaea rubra",1900,"Genus in Europe"
"Actaea simplex",1,FALSE,2620576,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",4,7326.90900542381,"Accepted",2620576,"Actaea simplex",NA,"Genus in Europe"
"Adenocarpus foliolosus",30,FALSE,2621673,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial",2,5685.91128112898,"Accepted",2621673,"Adenocarpus foliolosus",NA,"Genus in Europe"
"Adenocarpus viscosus",20,FALSE,2621704,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aegilops crassa",6,FALSE,387623,"Poaceae","Aegilops","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aegilops kotschyi",3,FALSE,387702,"Poaceae","Aegilops","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aegilops longissima",1,FALSE,387443,"Poaceae","Aegilops","Annual","Non-Woody","Non-Woody","Annual",1,3572.22449349669,"Accepted",387443,"Aegilops longissima",NA,"Genus in Europe"
"Aegopodium tribracteolatum",1,FALSE,2623506,"Apiaceae","Aegopodium",NA,NA,"Non-Woody","Perennial",1,2480.4891350864,"Accepted",2623506,"Aegopodium tribracteolatum",NA,"Genus in Europe"
"Aesculus chinensis",1,FALSE,2624488,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aesculus flava",4,FALSE,2624500,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",52,92760.211360932,"Accepted",2624500,"Aesculus flava",1813,"Genus in Europe"
"Aesculus glabra",5,FALSE,2624506,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",8,12591.1743237558,"Accepted",2624506,"Aesculus glabra",NA,"Genus in Europe"
"Aesculus indica",3,FALSE,2624522,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",26,52343.1401695971,"Accepted",2624522,"Aesculus indica",1989,"Genus in Europe"
"Aesculus parviflora",3,FALSE,2624566,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",86,143248.122922875,"Accepted",2624566,"Aesculus parviflora",1996,"Genus in Europe"
"Aesculus pavia",8,FALSE,2624568,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",50,93005.0108746862,"Accepted",2624568,"Aesculus pavia",1959,"Genus in Europe"
"Aesculus turbinata",2,FALSE,2624593,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",4,6893.73689535007,"Accepted",2624593,"Aesculus turbinata",NA,"Genus in Europe"
"Aesculus × bushii",1,FALSE,2624480,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aesculus × hybrida",1,FALSE,2624521,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",2,5055.57864971804,"Accepted",2624521,"Aesculus × hybrida",NA,"Genus in Europe"
"Aesculus × neglecta",4,FALSE,2624546,"Sapindaceae","Aesculus","Perennial","Woody","Woody","Perennial",1,2480.48913508653,"Accepted",2624546,"Aesculus × neglecta",NA,"Genus in Europe"
"Aethionema grandiflorum",1,FALSE,2624694,"Brassicaceae","Aethionema","Perennial","Non-Woody","Non-Woody","Perennial",1,3572.22449349669,"Accepted",2624694,"Aethionema grandiflorum",NA,"Genus in Europe"
"Agrimonia parviflora",1,FALSE,2907628,"Rosaceae","Agrimonia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Agrimonia repens",5,FALSE,2938694,"Rosaceae","Agrimonia","Perennial","Non-Woody","Non-Woody","Perennial",119,290737.174712463,"Accepted",2938694,"Agrimonia repens",1827,"Genus in Europe"
"Agrostis exarata",1,FALSE,389557,"Poaceae","Agrostis","Perennial","Non-Woody","Non-Woody","Perennial",5,6161.69342830106,"Accepted",389557,"Agrostis exarata",1891,"Genus in Europe"
"Agrostis scabra",1,FALSE,390266,"Poaceae","Agrostis",NA,"Non-Woody","Non-Woody","Perennial",116,152643.489620456,"Accepted",390266,"Agrostis scabra",1892,"Genus in Europe"
"Akhania canescens",1,FALSE,3288839,"Amaranthaceae","Akhania","Perennial",NA,NA,"Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alcea acaulis",2,FALSE,2627621,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alcea apterocarpa",3,FALSE,2627628,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alcea calvertii",1,FALSE,2627635,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alcea digitata",1,FALSE,2627641,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",1,2518.0882508977,"Accepted",2627641,"Alcea digitata",NA,"Genus in Europe"
"Alcea dissecta",2,FALSE,2627642,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alcea excubita",1,FALSE,2627645,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alcea flavovirens",1,FALSE,2627649,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alcea hohenackeri",2,FALSE,2627661,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alcea nudiflora",2,FALSE,2909953,"Malvaceae","Alcea",NA,"Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alcea rosea",57,FALSE,2627710,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",1851,3593357.10748788,"Accepted",2627710,"Alcea rosea",1804,"Genus in Europe"
"Alcea rufescens",1,FALSE,2627713,"Malvaceae","Alcea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alcea striata",3,FALSE,2627724,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alcea tabrisiana",1,FALSE,2627728,"Malvaceae","Alcea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alchemilla barbatiflora",1,FALSE,2938910,"Rosaceae","Alchemilla","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alchemilla holocycla",1,FALSE,2939561,"Rosaceae","Alchemilla","Perennial","Non-Woody","Non-Woody","Perennial",3,4005.10635973434,"Accepted",2939561,"Alchemilla holocycla",NA,"Genus in Europe"
"Alchemilla pseudocartalinica",1,FALSE,2940112,"Rosaceae","Alchemilla","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alchemilla sericata",1,FALSE,2939708,"Rosaceae","Alchemilla","Perennial","Non-Woody","Non-Woody","Perennial",3,4017.16464171162,"Accepted",2939708,"Alchemilla sericata",NA,"Genus in Europe"
"Alkanna orientalis",4,FALSE,2628512,"Boraginaceae","Alkanna","Perennial","Non-Woody","Non-Woody","Perennial",9,18070.5642710977,"Accepted",2628512,"Alkanna orientalis",NA,"Genus in Europe"
"Alkanna tubulosa",1,FALSE,2628558,"Boraginaceae","Alkanna","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Allium akaka",1,FALSE,294921,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Allium ascalonicum",9,FALSE,295055,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",4,11097.5268707918,"Accepted",295055,"Allium ascalonicum",NA,"Genus in Europe"
"Allium cepa",55,FALSE,295261,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",639,1208487.11950194,"Accepted",295261,"Allium cepa",1749,"Genus in Europe"
"Allium curtum",1,FALSE,295385,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Allium cyaneum",1,FALSE,295393,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Allium fistulosum",15,FALSE,295569,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",140,249846.94673695,"Accepted",295569,"Allium fistulosum",1807,"Genus in Europe"
"Allium orientale",1,FALSE,296166,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Allium phanerantherum",1,FALSE,296270,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Allium rothii",1,FALSE,296435,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Allium sativum",28,FALSE,296499,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",598,1146216.2470592,"Accepted",296499,"Allium sativum",1830,"Genus in Europe"
"Allium senescens",3,FALSE,296571,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",101,206916.481418598,"Accepted",296571,"Allium senescens",NA,"Genus in Europe"
"Allium stamineum",1,FALSE,296656,"Amaryllidaceae","Allium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alnus hirsuta",4,FALSE,6410,"Betulaceae","Alnus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alnus incana subsp. rugosa",10,FALSE,6448,"Betulaceae","Alnus",NA,NA,"Woody","Perennial",2,4361.88347822967,"Accepted",6448,"Alnus incana subsp. rugosa",NA,"Genus in Europe"
"Alnus incana subsp. tenuifolia",1,FALSE,6453,"Betulaceae","Alnus",NA,NA,"Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alnus japonica",6,FALSE,6471,"Betulaceae","Alnus","Perennial","Woody","Woody","Perennial",8,14582.643173822,"Accepted",6471,"Alnus japonica",NA,"Genus in Europe"
"Alnus maritima",1,FALSE,6509,"Betulaceae","Alnus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alnus orientalis",8,FALSE,6551,"Betulaceae","Alnus","Perennial","Woody","Woody","Perennial",1,2107.96618987524,"Accepted",6551,"Alnus orientalis",NA,"Genus in Europe"
"Alnus pendula",1,FALSE,6568,"Betulaceae","Alnus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alnus rubra",7,FALSE,6584,"Betulaceae","Alnus","Perennial","Woody","Woody","Perennial",56,93690.4648799748,"Accepted",6584,"Alnus rubra",1968,"Genus in Europe"
"Alnus subcordata",6,FALSE,6633,"Betulaceae","Alnus","Perennial","Woody","Woody","Perennial",3,7573.87020817644,"Accepted",6633,"Alnus subcordata",NA,"Genus in Europe"
"Alopecurus lanatus",1,FALSE,391445,"Poaceae","Alopecurus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alyssum baumgartnerianum",3,FALSE,2631935,"Brassicaceae","Alyssum","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alyssum lepidotum",1,FALSE,2632229,"Brassicaceae","Alyssum","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alyssum szovitsianum",1,FALSE,2632553,"Brassicaceae","Alyssum","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Alyssum trichocarpum",1,FALSE,2632581,"Brassicaceae","Alyssum","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Amaranthus albus",4,FALSE,2632650,"Amaranthaceae","Amaranthus","Annual","Non-Woody","Non-Woody","Annual",1242,2576272.19691635,"Accepted",2632650,"Amaranthus albus",1834,"Genus in Europe"
"Amaranthus blitoides",3,FALSE,2632706,"Amaranthaceae","Amaranthus","Annual","Non-Woody","Non-Woody","Annual",826,1703696.38309079,"Accepted",2632706,"Amaranthus blitoides",1835,"Genus in Europe"
