"taxon_name","n","native_to_europe","wcvp_accepted_id.x","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","tiles","area_km2","wcvp_status","wcvp_accepted_id.y","taxon_name.y","min_fr"
"Abies nordmanniana",59,FALSE,381919,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",531,966692.590327559,"Accepted",381919,"Abies nordmanniana",1845
"Abies nordmanniana subsp. equi-trojani",34,FALSE,381924,"Pinaceae","Abies",NA,NA,"Woody","Perennial",531,966692.590327559,"Accepted",381924,"Abies nordmanniana subsp. equi-trojani",NA
"Abies numidica",11,FALSE,381929,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",4,12640.4143557649,"Accepted",381929,"Abies numidica",NA
"Abies pindrow",3,FALSE,381960,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",3,3136.72805504596,"Accepted",381960,"Abies pindrow",NA
"Abies pinsapo",42,TRUE,381963,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",247,608533.336991314,"Accepted",381963,"Abies pinsapo",1949
"Abies pinsapo subsp. marocana",1,FALSE,381968,"Pinaceae","Abies",NA,NA,"Woody","Perennial",247,608533.336991314,"Accepted",381968,"Abies pinsapo subsp. marocana",NA
"Abies procera",13,FALSE,381974,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",330,497189.238803773,"Accepted",381974,"Abies procera",1880
"Abies sachalinensis",6,FALSE,381990,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",6,6783.00151446717,"Accepted",381990,"Abies sachalinensis",1860
"Abies sibirica",20,TRUE,382001,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",380,491439.707525005,"Accepted",382001,"Abies sibirica",1826
"Abies veitchii",8,FALSE,382044,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",33,51844.321696345,"Accepted",382044,"Abies veitchii",2012
"Abies × borisii-regis",9,TRUE,381664,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial",9,17635.4816010072,"Accepted",381664,"Abies × borisii-regis",NA
"Abutilon fruticosum",1,FALSE,2610628,"Malvaceae","Abutilon","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Abutilon grandifolium",3,FALSE,2610654,"Malvaceae","Abutilon","Perennial","Woody","Woody","Perennial",12,21639.8052885419,"Accepted",2610654,"Abutilon grandifolium",NA
"Abutilon theophrasti",9,FALSE,2611008,"Malvaceae","Abutilon","Annual","Non-Woody","Non-Woody","Annual",1434,2852072.14712864,"Accepted",2611008,"Abutilon theophrasti",1841
"Acacia acinacea",3,FALSE,2611102,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acacia applanata",1,FALSE,2611267,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acacia baileyana",3,FALSE,2611385,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",23,43690.1496162403,"Accepted",2611385,"Acacia baileyana",1981
"Acacia cultriformis",5,FALSE,2611815,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",5,10816.0937307171,"Accepted",2611815,"Acacia cultriformis",1999
"Acacia cyclops",1,FALSE,2611847,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",18,31680.1004865123,"Accepted",2611847,"Acacia cyclops",1939
"Acacia dealbata",7,FALSE,2611879,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",519,1160144.48770271,"Accepted",2611879,"Acacia dealbata",1847
"Acacia decurrens",2,FALSE,2611901,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",16,31790.0860548962,"Accepted",2611901,"Acacia decurrens",1999
"Acacia dentifera",1,FALSE,2611938,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acacia floribunda",1,FALSE,2612237,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acacia ligulata",1,FALSE,2612797,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acacia longifolia",6,FALSE,2612825,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",97,188820.702104225,"Accepted",2612825,"Acacia longifolia",1978
"Acacia mearnsii",3,FALSE,2612952,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",77,150111.959693204,"Accepted",2612952,"Acacia mearnsii",1968
"Acacia melanoxylon",1,FALSE,2612971,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",163,345145.836256521,"Accepted",2612971,"Acacia melanoxylon",1809
"Acacia omalophylla",1,FALSE,2613216,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acacia podalyriifolia",1,FALSE,2613416,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",1,1711.26085908413,"Accepted",2613416,"Acacia podalyriifolia",NA
"Acacia pycnantha",2,FALSE,2613563,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",56,103709.700703768,"Accepted",2613563,"Acacia pycnantha",1968
"Acacia retinodes",2,FALSE,2613616,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",149,276989.530695507,"Accepted",2613616,"Acacia retinodes",1962
"Acacia saligna",27,FALSE,2613720,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",165,295069.081192482,"Accepted",2613720,"Acacia saligna",1688
"Acacia ulicifolia",2,FALSE,2614171,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acaena magellanica",1,FALSE,2938368,"Rosaceae","Acaena","Perennial","Non-Woody","Non-Woody","Perennial",8,12284.4599362104,"Accepted",2938368,"Acaena magellanica",NA
"Acaena novae-zelandiae",1,FALSE,2938419,"Rosaceae","Acaena","Perennial","Non-Woody","Non-Woody","Perennial",108,169125.917954129,"Accepted",2938419,"Acaena novae-zelandiae",1901
"Acalypha australis",1,FALSE,214,"Euphorbiaceae","Acalypha","Annual","Non-Woody","Non-Woody","Annual",39,76463.7854247576,"Accepted",214,"Acalypha australis",1915
"Acalypha hispida",1,FALSE,689,"Euphorbiaceae","Acalypha","Perennial","Woody","Woody","Perennial",2,4188.17789751843,"Accepted",689,"Acalypha hispida",NA
"Acalypha wilkesiana",7,FALSE,1384,"Euphorbiaceae","Acalypha","Perennial","Woody","Woody","Perennial",2,1860.0333107992,"Accepted",1384,"Acalypha wilkesiana",NA
"Acantholimon avenaceum",1,FALSE,2614618,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",NA,NA,NA,NA,NA,NA
"Acantholimon caryophyllaceum",1,FALSE,2614658,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",NA,NA,NA,NA,NA,NA
"Acantholimon libanoticum",1,FALSE,2614805,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",NA,NA,NA,NA,NA,NA
"Acantholimon ulicinum",1,FALSE,2614968,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial",1,1588.42942568447,"Accepted",2614968,"Acantholimon ulicinum",NA
"Acanthophyllum persicum",1,FALSE,3225392,"Caryophyllaceae","Acanthophyllum",NA,NA,NA,NA,1,3572.22449349669,"Accepted",3225392,"Acanthophyllum persicum",NA
"Acanthospermum hispidum",2,FALSE,2922485,"Asteraceae","Acanthospermum","Annual","Non-Woody","Non-Woody","Annual",6,10768.1423572039,"Accepted",2922485,"Acanthospermum hispidum",1953
"Acanthus hungaricus",2,TRUE,2615256,"Acanthaceae","Acanthus","Perennial","Non-Woody","Non-Woody","Perennial",86,130573.179717303,"Accepted",2615256,"Acanthus hungaricus",1998
"Acanthus mollis",11,TRUE,2615276,"Acanthaceae","Acanthus","Perennial","Non-Woody","Non-Woody","Perennial",848,1759572.21975696,"Accepted",2615276,"Acanthus mollis",1820
"Acanthus spinosus",4,TRUE,2615301,"Acanthaceae","Acanthus","Perennial","Non-Woody","Non-Woody","Perennial",200,349146.731767948,"Accepted",2615301,"Acanthus spinosus",1942
"Acer buergerianum",1,FALSE,2615419,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",12,28368.3824366883,"Accepted",2615419,"Acer buergerianum",NA
"Acer campestre",249,TRUE,2615447,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1901,3677310.51461585,"Accepted",2615447,"Acer campestre",1749
"Acer cappadocicum",6,TRUE,2615475,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",125,236767.989907605,"Accepted",2615475,"Acer cappadocicum",1977
"Acer cappadocicum subsp. lobelii",2,TRUE,2615485,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",11,31431.8003996023,"Accepted",2615485,"Acer cappadocicum subsp. lobelii",NA
"Acer carpinifolium",1,FALSE,2615502,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",9,12082.8969240036,"Accepted",2615502,"Acer carpinifolium",NA
"Acer circinatum",5,FALSE,2615530,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",6,8325.10633478966,"Accepted",2615530,"Acer circinatum",NA
"Acer davidii",1,FALSE,2615577,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",29,50333.6267797311,"Accepted",2615577,"Acer davidii",NA
"Acer davidii subsp. grosseri",1,FALSE,2615579,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",29,50333.6267797311,"Accepted",2615579,"Acer davidii subsp. grosseri",NA
"Acer glabrum",1,FALSE,2615664,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acer granatense",8,TRUE,2615687,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",40,115079.760179924,"Accepted",2615687,"Acer granatense",NA
"Acer heldreichii",8,TRUE,2615704,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",27,47773.2065087625,"Accepted",2615704,"Acer heldreichii",1996
"Acer heldreichii subsp. trautvetteri",3,TRUE,2615708,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",4,5940.96631624823,"Accepted",2615708,"Acer heldreichii subsp. trautvetteri",NA
"Acer hyrcanum",4,TRUE,2615738,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",20,36949.1418647542,"Accepted",2615738,"Acer hyrcanum",NA
"Acer hyrcanum subsp. intermedium",2,TRUE,2615741,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",20,36949.1418647542,"Accepted",2615741,"Acer hyrcanum subsp. intermedium",NA
"Acer hyrcanum subsp. stevenii",3,TRUE,2615747,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",4,6013.91170931412,"Accepted",2615747,"Acer hyrcanum subsp. stevenii",NA
"Acer japonicum",4,FALSE,2615790,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",53,92579.9668678964,"Accepted",2615790,"Acer japonicum",2008
"Acer macrophyllum",5,FALSE,2615900,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",17,30116.707642133,"Accepted",2615900,"Acer macrophyllum",NA
"Acer mandshuricum",1,FALSE,2615913,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",4,8203.51256677354,"Accepted",2615913,"Acer mandshuricum",NA
"Acer miyabei",1,FALSE,2615945,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acer monspessulanum",72,TRUE,2615976,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",655,1512515.26732327,"Accepted",2615976,"Acer monspessulanum",1930
"Acer monspessulanum subsp. cinerascens",2,FALSE,2615980,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acer monspessulanum subsp. ibericum",1,FALSE,2615988,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",655,1512515.26732327,"Accepted",2615988,"Acer monspessulanum subsp. ibericum",NA
"Acer monspessulanum subsp. microphyllum",4,FALSE,2615994,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",655,1512515.26732327,"Accepted",2615994,"Acer monspessulanum subsp. microphyllum",NA
"Acer negundo",42,FALSE,2616024,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",2666,5170785.663057,"Accepted",2616024,"Acer negundo",1688
"Acer oblongum",1,FALSE,2616086,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acer obtusifolium",8,TRUE,2616102,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acer opalus",29,TRUE,2616113,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",473,1102102.44013639,"Accepted",2616113,"Acer opalus",NA
"Acer opalus subsp. obtusatum",14,TRUE,2616128,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",473,1102102.44013639,"Accepted",2616128,"Acer opalus subsp. obtusatum",NA
"Acer palmatum",8,FALSE,2616153,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",206,377693.495369079,"Accepted",2616153,"Acer palmatum",1950
"Acer pensylvanicum",3,FALSE,2616210,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",20,26995.2395973544,"Accepted",2616210,"Acer pensylvanicum",2008
"Acer pictum",1,FALSE,2616218,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",11,19853.9754031368,"Accepted",2616218,"Acer pictum",2008
"Acer platanoides",149,TRUE,2616254,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",3063,5190457.29787241,"Accepted",2616254,"Acer platanoides",1905
"Acer pseudoplatanus",227,TRUE,2616276,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",2135,3820689.30879865,"Accepted",2616276,"Acer pseudoplatanus",1600
"Acer pseudosieboldianum",1,FALSE,2616285,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",3,5730.60100458485,"Accepted",2616285,"Acer pseudosieboldianum",2017
"Acer rubrum",8,FALSE,2616329,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",131,246721.618216979,"Accepted",2616329,"Acer rubrum",2006
"Acer saccharinum",29,FALSE,2616367,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",749,1425537.93930125,"Accepted",2616367,"Acer saccharinum",1807
"Acer saccharum",8,FALSE,2616387,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",39,79012.0895126943,"Accepted",2616387,"Acer saccharum",1912
"Acer sempervirens",10,TRUE,2616440,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",26,35539.5312146888,"Accepted",2616440,"Acer sempervirens",NA
"Acer spicatum",2,FALSE,2616481,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",11,22171.7803456142,"Accepted",2616481,"Acer spicatum",1931
"Acer tataricum",30,TRUE,2616524,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1202,2182261.14725144,"Accepted",2616524,"Acer tataricum",1805
"Acer tataricum subsp. ginnala",10,FALSE,2616532,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",1202,2182261.14725144,"Accepted",2616532,"Acer tataricum subsp. ginnala",NA
"Acer tataricum subsp. semenovii",2,FALSE,2616538,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",1202,2182261.14725144,"Accepted",2616538,"Acer tataricum subsp. semenovii",NA
"Acer undulatum",7,FALSE,2616614,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA
"Acer velutinum",2,FALSE,2616618,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1,2342.91412412461,"Accepted",2616618,"Acer velutinum",NA
"Achillea abrotanoides",2,TRUE,3109673,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",5,11001.9305465789,"Accepted",3109673,"Achillea abrotanoides",NA
"Achillea ageratifolia",3,TRUE,3196452,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",23,44621.7178640334,"Accepted",3196452,"Achillea ageratifolia",NA
"Achillea ageratifolia subsp. serbica",1,TRUE,3240080,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",23,44621.7178640334,"Accepted",3240080,"Achillea ageratifolia subsp. serbica",NA
"Achillea ageratum",1,TRUE,3109591,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",233,600899.507454606,"Accepted",3109591,"Achillea ageratum",1945
"Achillea alpina",3,FALSE,2906148,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",3,5247.19702893522,"Accepted",2906148,"Achillea alpina",NA
"Achillea arabica",14,TRUE,3109737,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",14,16182.9684306693,"Accepted",3109737,"Achillea arabica",NA
"Achillea asiatica",1,TRUE,3109741,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",66,93433.3102718924,"Accepted",3109741,"Achillea asiatica",NA
"Achillea aspleniifolia",6,TRUE,2908979,"Asteraceae","Achillea",NA,"Non-Woody","Non-Woody","Perennial",30,50599.6361317262,"Accepted",2908979,"Achillea aspleniifolia",NA
"Achillea atrata",4,TRUE,3109793,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",85,140874.633983156,"Accepted",3109793,"Achillea atrata",NA
"Achillea biserrata",4,FALSE,3109820,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA
"Achillea chamaemelifolia",1,TRUE,3109832,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",18,33649.357575173,"Accepted",3109832,"Achillea chamaemelifolia",NA
"Achillea chrysocoma",1,TRUE,3109835,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA
"Achillea clavennae",12,TRUE,3109848,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",86,171333.086935526,"Accepted",3109848,"Achillea clavennae",NA
"Achillea clusiana",3,TRUE,3109852,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",5,13905.0393538645,"Accepted",3109852,"Achillea clusiana",NA
"Achillea clypeolata",4,TRUE,3109853,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",22,41485.7114073032,"Accepted",3109853,"Achillea clypeolata",NA
"Achillea coarctata",4,TRUE,3109861,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",19,37585.1809779035,"Accepted",3109861,"Achillea coarctata",NA
"Achillea cretica",1,TRUE,3109870,"Asteraceae","Achillea","Perennial","Woody","Woody","Perennial",7,7160.00721271721,"Accepted",3109870,"Achillea cretica",NA
"Achillea crithmifolia",4,TRUE,3109769,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",65,144455.139718431,"Accepted",3109769,"Achillea crithmifolia",1760
"Achillea cucullata",1,FALSE,3109770,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA
"Achillea distans",7,TRUE,3109878,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",406,825565.947574829,"Accepted",3109878,"Achillea distans",1844
"Achillea distans subsp. stricta",7,TRUE,3240083,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",23,39578.6720720506,"Accepted",3240083,"Achillea distans subsp. stricta",NA
"Achillea distans subsp. tanacetifolia",3,TRUE,3109894,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",22,41849.5577281753,"Accepted",3109894,"Achillea distans subsp. tanacetifolia",NA
"Achillea erba-rotta",2,TRUE,3109895,"Asteraceae","Achillea","Perennial","Woody","Woody","Perennial",100,170760.087953554,"Accepted",3109895,"Achillea erba-rotta",NA
"Achillea erba-rotta subsp. moschata",11,TRUE,3109912,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",100,170760.087953554,"Accepted",3109912,"Achillea erba-rotta subsp. moschata",NA
"Achillea euxina",1,TRUE,3109914,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",7,12250.5163056843,"Accepted",3109914,"Achillea euxina",NA
"Achillea filipendulina",11,FALSE,3109923,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",964,1907748.82676868,"Accepted",3109923,"Achillea filipendulina",1870
"Achillea glaberrima",2,TRUE,3109939,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",2,5475.51738968434,"Accepted",3109939,"Achillea glaberrima",NA
"Achillea goniocephala",1,FALSE,3109940,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA
"Achillea grandifolia",3,TRUE,3109941,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",3,6181.77623055896,"Accepted",3109941,"Achillea grandifolia",1945
"Achillea holosericea",1,TRUE,3109954,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",6,10716.9005764186,"Accepted",3109954,"Achillea holosericea",NA
"Achillea impatiens",3,TRUE,3109963,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA
"Achillea kotschyi",1,TRUE,3109969,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA
"Achillea leptophylla",1,TRUE,3109982,"Asteraceae","Achillea",NA,"Non-Woody","Non-Woody","Perennial",52,108810.732823748,"Accepted",3109982,"Achillea leptophylla",NA
"Achillea ligustica",12,TRUE,3109986,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",70,134976.36556712,"Accepted",3109986,"Achillea ligustica",1900
"Achillea lingulata",2,TRUE,3109990,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA
"Achillea macrophylla",5,TRUE,3109996,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",105,196521.857720613,"Accepted",3109996,"Achillea macrophylla",1950
"Achillea maritima",5,TRUE,3109998,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",213,314280.705564757,"Accepted",3109998,"Achillea maritima",NA
"Achillea micrantha",5,TRUE,3110023,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",107,236122.99963445,"Accepted",3110023,"Achillea micrantha",1930
"Achillea millefolium",281,TRUE,2908230,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",4583,6751096.88050284,"Accepted",2908230,"Achillea millefolium",1662
"Achillea millefolium subsp. alpestris",3,TRUE,2909358,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",4583,6751096.88050284,"Accepted",2909358,"Achillea millefolium subsp. alpestris",NA
"Achillea millefolium subsp. millefolium",1,TRUE,3265623,"Asteraceae","Achillea",NA,"Non-Woody","Non-Woody","Perennial",4583,6751096.88050284,"Accepted",3265623,"Achillea millefolium subsp. millefolium",NA
"Achillea nana",5,TRUE,3110043,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",71,130761.335480144,"Accepted",3110043,"Achillea nana",NA
"Achillea nobilis",22,TRUE,3110044,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1455,2794251.74282025,"Accepted",3110044,"Achillea nobilis",1700
"Achillea nobilis subsp. neilreichii",4,TRUE,3110066,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",1455,2794251.74282025,"Accepted",3110066,"Achillea nobilis subsp. neilreichii",NA
"Achillea ochroleuca",7,TRUE,3110072,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",20,45539.8115647128,"Accepted",3110072,"Achillea ochroleuca",NA
"Achillea odorata",14,TRUE,3110082,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",165,461451.850374152,"Accepted",3110082,"Achillea odorata",NA
"Achillea oxyloba subsp. schurii",1,TRUE,3110089,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",6,14469.8776265518,"Accepted",3110089,"Achillea oxyloba subsp. schurii",NA
"Achillea pannonica",8,TRUE,3110094,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",227,454919.087715772,"Accepted",3110094,"Achillea pannonica",NA
"Achillea phrygia",3,FALSE,3110097,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA
"Achillea pseudopectinata",2,TRUE,3109604,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",1,1835.38051106483,"Accepted",3109604,"Achillea pseudopectinata",NA
"Achillea ptarmica",59,TRUE,3109605,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",2706,3736955.85842682,"Accepted",3109605,"Achillea ptarmica",1838
"Achillea ptarmicifolia",2,FALSE,3110131,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA
