microherbivore_species;n;organ;role;phase
Acanthococcus thaleri;1;S;SC;NA
Acanthococcus thymi;18;S;SC;NA
Acanthococcus uvaeursi;8;S;SC;NA
Acanthodelphax denticauda;2;L;V;NA
Acanthodelphax spinosus;2;L;V;NA
Acanthogethes brevis;3;X;B;NA
Acanthogethes fuscus;2;X;B;NA
Acanthogethes lamii;1;X;B;NA
Acanthogethes reyi;3;X;B;NA
Acanthogethes solidus;1;X;B;NA
Acantholipes regularis;1;L;V;NA
Acantholyda erythrocephala;8;L;H;NA
Acantholyda flaviceps;4;L;H;NA
Acantholyda hieroglyphica;14;L;H;NA
Acantholyda laricis;2;L;H;NA
Acantholyda posticalis;6;L;H;NA
Acantholyda pumilionis;2;L;H;NA
Acantholyda serbica;3;L;H;NA
Acanthomytilus intermittens;2;S;H;NA
Acanthomytilus jablonowskii;1;S;H;NA
Acanthomytilus sacchari;1;U;SC;NA
Acanthopulvinaria orientalis;1;U;SC;NA
Acanthoscelides macrophthalmus;1;seeds;B;NA
Acanthoscelides obtectus;9;F;B;NA
Acanthoscelides pallidipennis;1;F;B;NA
Acanthoscelides plagiatus;2;seeds;B;NA
Acanthosoma haemorrhoidale;26;L;V;NA
Acaphylisa rakoczkii;1;L;G;NA
Acaphylla acromia;2;L;V;NA
Acaphylla theae;1;L;V;NA
Acaphyllisa fagi;2;L;V;NA
Acaphyllisa salicobia;8;L;V;NA
Acaralox arundinaceus;1;L;V;NA
Acaralox bognari;1;L;V;NA
Acaralox croatiae;2;L;V;NA
Acaralox farsi;1;L;V;NA
Acaralox hungarorum;1;L;V;NA
Acaricalus cerriquerci;2;L;V;NA
Acaricalus cristatus;4;L;G;NA
Acaricalus elegans;1;L;V;NA
Acaricalus halli;1;L;V;NA
Acaricalus hydrophylli;1;L;V;NA
Acaricalus juniperi;1;L;V;NA
Acaricalus rubrifoliae;2;L;V;NA
Acaricalus segundus;1;L;V;NA
Acaricalus trinotus;2;L;G;NA
Acasis appensata;4;X;H;NA
Acasis viretata;12;L;V;NA
Acaudaleyrodes rachipora;12;L;SC;NA
Acaudinum bulgaricum;1;Sys;V;NA
Acaudinum centaureae;10;C;V;NA
Acaudinum longisetosum;5;C;V;spring
Acaudinum roumanicum;1;C;V;spring
Acentria ephemerella;6;L;B;NA
Acentrotypus brunnipes;5;S;G;NA
Acentrus histrio;2;C;B;NA
Aceria absentia;1;L;V;NA
Aceria absinthii;1;L;G;NA
Aceria acerismonspessulani;1;L;G;NA
Aceria achilleae;5;X;G;NA
Aceria acroptiloni;2;X;G;NA
Aceria aculiformis;5;L;V;NA
Aceria aegyptiaca;1;L;V;NA
Aceria affinis;1;L;G;NA
Aceria ajugae;4;Sys;G;NA
Aceria alniborealis;1;L;V;NA
Aceria alniviridis;1;NA;I;NA
Aceria alpestris;4;L;G;NA
Aceria ambrosiae;1;NA;NA;NA
Aceria anceps;6;B;G;NA
Aceria angustifoliae;2;L;G;NA
Aceria ankarensis;2;L;V;NA
Aceria anserina;1;L;V;NA
Aceria anthocoptes;3;L;G;NA
Aceria anthonoma;4;X;G;NA
Aceria arceosae;1;B;G;NA
Aceria artemisiae;5;L;G;NA
Aceria artemisiaecampestris;1;L;V;NA
Aceria artemisiifoliae;1;Sys;G;NA
Aceria arundinis;1;L;V;NA
Aceria astragali;4;L;G;NA
Aceria avanensis;1;L;G;NA
Aceria bajani;1;X;V;NA
Aceria balasi;1;X;G;NA
Aceria banatica;1;L;V;NA
Aceria barbujanae;1;L;G;NA
Aceria barroisi;4;X;G;NA
Aceria bartschiae;1;L;G;NA
Aceria belarexi;1;L;V;NA
Aceria bendeguzi;1;L;V;NA
Aceria bezzii;1;B;G;NA
Aceria biradiata;1;L;V;NA
Aceria bistriata;1;NA;I;NA
Aceria boissieri;1;L;V;NA
Aceria bonarotae;1;L;G;NA
Aceria brachytarsus;2;L;G;NA
Aceria breviceps;1;L;G;NA
Aceria brevicincta;2;L;G;NA
Aceria brevipes;2;L;G;NA
Aceria brevirostris;6;B;G;NA
Aceria brevisetosa;1;X;G;NA
Aceria byersi;1;L;V;NA
Aceria calaceris;1;L;G;NA
Aceria calamagrostis;2;L;V;NA
Aceria calathidis;2;X;G;NA
Aceria calathina;1;X;G;NA
Aceria caliberberis;4;B;G;NA
Aceria campanulae;2;L;G;NA
Aceria campestricola;4;L;G;NA
Aceria cardaminis;1;Sys;G;NA
Aceria cardui;1;L;V;NA
Aceria carinifex;2;L;G;NA
Aceria carlinae;3;L;G;NA
Aceria carpini;1;L;V;NA
Aceria carvi;3;L;G;NA
Aceria caulleryi;1;Sys;G;NA
Aceria caulobia;2;S;G;NA
Aceria centaureae;20;L;G;NA
Aceria cephalonea;6;L;G;NA
Aceria cerastii;6;B;G;NA
Aceria cerrea;3;L;G;NA
Aceria cerrigemmarum;1;B;G;NA
Aceria chloranthes;1;X;G;NA
Aceria chondrillae;1;B;G;NA
Aceria ciansensis;1;L;G;NA
Aceria cichorii;1;B;G;NA
Aceria cirsii;1;L;V;NA
Aceria cisticola;1;L;V;NA
Aceria colocense;1;L;V;NA
Aceria convolvuli;3;B;G;NA
Aceria cornuta;12;X;G;NA
Aceria craspedophyes;1;L;G;NA
Aceria cretica;1;L;G;NA
Aceria cumaniamajoris;1;L;G;NA
Aceria cumanorum;1;L;G;NA
Aceria cuscutae;1;X;G;NA
Aceria cynarae;1;L;G;NA
Aceria cytisi;2;B;G;NA
Aceria dalmatina;1;Sys;G;NA
Aceria desertorum;1;L;V;NA
Aceria destructor;9;Sys;G;NA
Aceria dianthi;1;Sys;G;NA
Aceria dioicae;1;B;G;NA
Aceria dispar;2;B;G;NA
Aceria dissecti;1;L;G;NA
Aceria diversicoloris;2;L;G;NA
Aceria dolichosoma;7;L;G;NA
Aceria drabae;38;X;G;NA
Aceria ecantyx;1;B;B;NA
Aceria echii;1;L;G;NA
Aceria effusa;1;L;G;NA
Aceria egmirae;1;L;V;NA
Aceria elaeagnicola;1;L;G;NA
Aceria empetri;2;Sys;G;NA
Aceria enantha;1;Sys;G;NA
Aceria erecti;2;L;V;NA
Aceria erinea;1;L;G;NA
Aceria erodii;2;X;G;NA
Aceria eryngii;1;L;G;NA
Aceria euaspis;8;L;G;NA
Aceria eucricotes;5;L;G;NA
Aceria eupatorii;1;L;G;NA
Aceria euphrasiae;7;Sys;G;NA
Aceria eutricha;2;Sys;G;NA
Aceria exigua;1;L;G;NA
Aceria eximia;2;L;V;NA
Aceria feketeistvani;1;L;V;NA
Aceria fennica;1;L;G;NA
Aceria ficus;1;L;G;NA
Aceria flexuosae;1;L;V;NA
Aceria forsythiae;1;L;V;NA
Aceria fraxinicola;3;L;G;NA
Aceria fraxiniflora;1;X;G;NA
Aceria fraxinivora;7;X;G;NA
Aceria galiobia;12;Sys;G;NA
Aceria genistae;13;B;G;NA
Aceria geranii;10;L;G;NA
Aceria gilloglii;2;L;V;NA
Aceria glomerivagrans;2;L;V;NA
Aceria granati;1;L;G;NA
Aceria grandipennis;1;L;G;NA
Aceria grandis;6;X;G;NA
Aceria granulata;1;L;V;NA
Aceria gymnoprocta;3;L;G;NA
Aceria gypsophilae;1;L;V;NA
Aceria heimi;4;X;G;NA
Aceria heteronyx;4;S;G;NA
Aceria hippophaena;2;L;G;NA
Aceria horrida;1;X;G;NA
Aceria hypochoerina;2;L;G;NA
Aceria ilicis;8;L;G;NA
Aceria intercedens;1;L;V;NA
Aceria inturbida;1;L;V;NA
Aceria iteina;4;L;G;NA
Aceria jaapi;1;B;G;NA
Aceria jovanovici;1;L;G;NA
Aceria kiefferi;2;X;G;NA
Aceria kuko;4;L;G;NA
Aceria labiatiflorae;2;L;G;NA
Aceria lamii;1;L;V;NA
Aceria lappae;2;L;V;NA
Aceria laticincta;3;L;G;NA
Aceria leioprocta;4;B;G;NA
Aceria leonuri;1;L;V;NA
Aceria ligustri;2;B;V;NA
Aceria lini;1;L;G;NA
Aceria linosyrina;1;B;G;NA
Aceria liszkai;2;L;V;NA
Aceria loewi;4;B;G;NA
Aceria loiseleuriae;1;L;V;NA
Aceria longirostris;1;L;G;NA
Aceria longiseta;14;L;G;NA
Aceria lophophyes;1;L;G;NA
Aceria lycopersici;3;L;G;NA
Aceria macrochela;6;L;G;NA
Aceria macrocheluserinea;7;L;G;NA
Aceria macrorhyncha;8;L;G;NA
Aceria macrotuberculata;2;X;G;NA
Aceria maculifer;1;NA;I;NA
Aceria magyarica;1;F;V;NA
Aceria malherbae;2;L;G;NA
Aceria malvacearum;1;L;V;NA
Aceria marginemvolvens;2;L;G;NA
Aceria marshalli;1;L;V;NA
Aceria massalongoi;1;L;G;NA
Aceria matricariae;1;X;V;NA
Aceria medicaginis;1;L;G;NA
Aceria megacera;6;L;G;NA
Aceria mentharia;5;L;G;NA
Aceria moehringiae;3;Sys;G;NA
Aceria monspessulani;1;L;G;NA
Aceria monspessulerinea;3;L;V;NA
Aceria multistriata;1;L;G;NA
Aceria myriadeum;1;L;G;NA
Aceria nalepai;1;L;I;NA
Aceria nanula;1;L;V;NA
Aceria nardusi;1;L;V;NA
Aceria neocynarae;1;L;G;NA
Aceria nervisequa;2;L;G;NA
Aceria novellae;1;L;V;NA
Aceria novitia;1;L;V;NA
Aceria obiones;2;X;G;NA
Aceria oleae;1;L;G;NA
Aceria olivi;1;L;G;NA
Aceria ononidis;6;Sys;G;NA
Aceria ononidistrifolii;17;X;G;NA
Aceria onychia;4;L;G;NA
Aceria opistholia;1;L;G;NA
Aceria opulifolii;1;L;G;NA
Aceria oxalidis;4;L;G;NA
Aceria paradianthi;1;Sys;G;NA
Aceria passerinae;3;X;G;NA
Aceria petanovicae;2;L;V;NA
Aceria peucedani;25;L;G;NA
Aceria phalardis;2;L;V;NA
Aceria picridis;2;L;G;NA
Aceria pilosellae;1;L;G;NA
Aceria pistaciae;4;X;G;NA
Aceria plantaginissubulatae;2;L;V;NA
Aceria platanoidea;1;L;G;NA
Aceria plicator;9;X;G;NA
Aceria pontica;3;L;G;NA
Aceria populi;9;L;G;NA
Aceria populicanescentis;2;L;V;NA
Aceria pseudoplatanea;4;L;G;NA
Aceria pseudoplatani;1;L;G;NA
Aceria pterocaryae;1;L;G;NA
Aceria puculosa;2;X;G;NA
Aceria pycnocomi;1;L;G;NA
Aceria pyracanthi;1;L;G;NA
Aceria quercina;3;L;G;NA
Aceria quercuscocciferae;1;L;G;NA
Aceria rechingeri;3;X;G;NA
Aceria reykjaviki;1;L;G;NA
Aceria rhamni;1;L;G;NA
Aceria rhodiolae;1;Sys;G;NA
Aceria ribis;1;L;V;NA
Aceria rosalia;7;Sys;G;NA
Aceria rubiae;1;Sys;G;NA
Aceria rudis;1;F;G;NA
Aceria saalasii;2;L;V;NA
Aceria salicina;6;B;G;NA
Aceria salicis;6;L;G;NA
Aceria salicisincanae;1;L;V;NA
Aceria salicorniae;2;B;W;NA
Aceria salsolae;3;Sys;G;NA
Aceria salviae;8;L;G;NA
Aceria sanguisorbae;5;B;G;NA
Aceria saturejae;1;X;G;NA
Aceria saussureae;1;L;G;NA
Aceria sawatchense;1;B;V;NA
Aceria saxifragae;1;L;V;NA
Aceria scaber;4;L;G;NA
Aceria schlechtendali;3;C;G;NA
Aceria sheldoni;1;Sys;G;NA
Aceria silenes;3;Sys;G;NA
Aceria silvicola;4;L;G;NA
Aceria solcentaureae;1;Sys;W;NA
Aceria solida;6;Sys;G;NA
Aceria solstitialis;1;Sys;G;NA
Aceria sonchi;3;L;G;NA
Aceria spartii;1;B;W;NA
Aceria squalida;9;B;G;NA
Aceria squarrosae;1;Sys;G;NA
Aceria stefanii;4;L;G;NA
Aceria stipacea;1;L;V;NA
Aceria stipaespinulata;2;L;V;NA
Aceria suberina;3;B;G;NA
Aceria subtilis;3;Sys;G;NA
Aceria suffugiosa;1;L;V;NA
Aceria szepligetii;1;L;V;NA
Aceria tamaricis;3;B;G;NA
Aceria taurica;1;L;V;NA
Aceria tenella;3;L;G;NA
Aceria tenuis;54;L;G;NA
Aceria thessalonicae;3;L;V;NA
Aceria thomasi;14;B;G;NA
Aceria tinctoriae;1;L;V;NA
Aceria tingens;1;L;G;NA
Aceria tosichella;39;L;V;NA
Aceria trichophila;1;NA;I;NA
Aceria triseti;1;L;V;NA
Aceria tristriata;1;L;G;NA
Aceria tuberculata;2;L;G;NA
Aceria tulipae;5;L;V;NA
Aceria tussilagofoliae;1;L;V;NA
Aceria ulmi;4;L;G;NA
Aceria unguiculata;1;L;G;NA
Aceria utzkae;1;L;V;NA
Aceria varia;1;L;G;NA
Aceria verbasci;1;L;V;NA
Aceria verbenacae;1;L;G;NA
Aceria vermicularis;5;B;G;NA
Aceria vinosa;1;L;G;NA
Aceria vitalbae;2;L;G;NA
Aceria wassalberti;1;sys;V;NA
Acericecis campestre;1;L;G;NA
Acericecis szepligetii;1;L;G;NA
Acericecis vitrina;2;L;G;NA
Acericerus heydenii;4;L;V;NA
Acericerus ribauti;3;L;V;NA
Acericerus vittifrons;2;L;V;NA
Acetropis carinata;10;L;V;NA
Acetropis gimmerthali;4;L;V;NA
Acetropis longirostris;1;X;V;NA
Achaetocoptes cerrifoliae;1;L;V;NA
Achaetocoptes quercifolii;2;L;V;NA
Acherontia atropos;36;L;V;NA
Achlya flavicornis;1;L;V;NA
Achorotile albosignata;3;L;V;NA
Achorotile longicornis;2;L;V;NA
Achyra nudalis;7;L;H;NA
Acidia cognata;9;L;M;NA
Acinia biflexa;1;X;G;NA
Acinia corniculata;1;X;B;NA
Acinopus ammophilus;1;seeds;V;NA
Aciura coryli;5;X;B;NA
Acizzia acaciaebaileyanae;3;L;V;NA
Acizzia hollisi;1;L;V;NA
Acizzia jamatonica;1;L;V;NA
Acizzia uncatoides;9;L;V;NA
Acklandia servadeii;4;X;B;NA
Aclees taiwanensis;1;S;B;NA
Aclerda berlesii;1;S;V;NA
Acleris abietana;3;L;H;NA
Acleris aspersana;15;L;H;NA
Acleris bergmanniana;6;L;V;NA
Acleris boscanoides;1;L;H;NA
Acleris caledoniana;8;L;V;NA
Acleris comariana;5;L;V;NA
Acleris cristana;8;L;H;NA
Acleris effractana;3;L;H;NA
Acleris emargana;3;L;H;NA
Acleris ferrugana;2;L;H;NA
Acleris fimbriana;3;L;H;NA
Acleris forsskaleana;3;L;V;NA
Acleris hastiana;9;L;H;NA
Acleris hippophaeana;1;L;H;NA
Acleris holmiana;8;L;V;NA
Acleris hyemana;2;L;H;NA
Acleris kochiella;2;L;H;NA
Acleris lacordairana;1;L;H;NA
Acleris laterana;12;L;H;NA
Acleris lipsiana;9;L;H;NA
Acleris literana;2;L;H;NA
Acleris logiana;3;L;H;NA
Acleris lorquiniana;1;X;H;NA
Acleris maccana;5;L;H;NA
Acleris notana;4;L;H;NA
Acleris permutana;3;L;H;NA
Acleris quercinana;1;L;H;NA
Acleris rhombana;12;L;H;NA
Acleris roscidana;2;L;H;NA
Acleris rufana;11;L;H;NA
Acleris scabrana;2;L;H;NA
Acleris schalleriana;4;L;H;NA
Acleris shepherdana;4;L;H;NA
Acleris sparsana;7;L;H;NA
Acleris umbrana;9;L;H;NA
Acleris undulana;3;L;V;NA
Acleris variegana;26;L;H;NA
Acmaeodera  nigellata;1;S;B;NA
Acmaeodera bipunctata;10;S;B;NA
Acmaeodera brevipes;1;S;B;NA
Acmaeodera cisti;10;S;B;NA
Acmaeodera crinita;10;S;B;NA
Acmaeodera cylindrica;5;S;B;NA
Acmaeodera degener;8;S;B;NA
Acmaeodera flavolineata;1;S;B;NA
Acmaeodera gaditana;1;S;B;NA
Acmaeodera guayarmina;1;S;B;NA
Acmaeodera ottomana;6;S;B;NA
Acmaeodera pilosellae;11;S;B;NA
Acmaeodera plagiata;1;S;B;NA
Acmaeodera prunneri;4;S;B;NA
Acmaeodera pulchra;4;S;B;NA
Acmaeodera quadrifasciata;5;S;B;NA
Acmaeodera quadrizonata;1;S;B;NA
Acmaeodera revelierei;1;S;B;NA
Acmaeodera rubromaculata;4;S;B;NA
Acmaeodera saxicola;3;S;B;NA
Acmaeodera simulans;6;S;B;NA
Acmaeodera tassi;5;S;B;NA
Acmaeodera undulata;2;S;B;NA
Acmaeodera wethloi;1;S;B;NA
Acmaeoderella  flavofasciata;26;S;B;NA
Acmaeoderella  lanuginosa;6;S;B;NA
Acmaeoderella  villosula;4;S;B;NA
Acmaeoderella  virgulata;3;S;B;NA
Acmaeoderella adspersula;30;S;B;NA
Acmaeoderella circassica;1;R;B;NA
Acmaeoderella cyanipennis;5;S;B;NA
Acmaeoderella densisquamis;3;S;B;NA
Acmaeoderella despecta;6;S;B;NA
Acmaeoderella discoidea;2;R;B;NA
Acmaeoderella gibbosula;7;S;B;NA
Acmaeoderella mimonti;6;S;B;NA
Acmaeoderella moroderi;1;S;B;NA
Acmaeoderella normanna;1;R;B;NA
Acmaeoderella rufmarginata;1;S;B;NA
Acmaeoderella serricornis;1;S;B;NA
Acmaeoderella stricta;1;S;B;NA
Acmaeops marginata;4;DW;B;NA
Acmaeops pratensis;3;DW;B;NA
Acmaeops septentrionis;4;DW;B;NA
Acodiplosis inulae;6;S;G;NA
Acodiplosis pulicariae;1;L;G;NA
Acodiplosis spec.;1;F;G;NA
Acompocoris alpinus;7;NA;Pre;NA
Acompocoris montanus;2;NA;Pre;NA
Acompocoris pygmaeus;1;NA;Pre;NA
Acompsia antirrhinella;1;L;H;NA
Acompsia schmidtiellus;7;L;H;NA
Acompsia subpunctella;1;S;B;NA
Acompsia tripunctella;1;L;V;NA
Acompus pallipes;2;L;V;NA
Acompus rufipes;5;X;V;NA
Acontia candefacta;1;L;V;NA
Acontia lucida;8;L;V;NA
Acontia trabealis;2;L;V;NA
Aconura jakowlefi;2;L;V;NA
Aconura oculata;1;L;V;NA
Aconurella prolixa;1;L;V;NA
Acosmetia caliginosa;1;L;V;NA
Acossus terebra;1;S;B;NA
Acremonium apii;1;L;F;NA
Acritonotus nascimentoi;1;L;V;NA
Acrobasis advenella;5;L;H;NA
Acrobasis bithynella;6;L;V;NA
Acrobasis celticola;1;L;H;NA
Acrobasis centunculella;2;U;U;NA
Acrobasis consociella;4;L;H;NA
Acrobasis glaucella;4;L;H;NA
Acrobasis legatea;6;L;H;NA
Acrobasis marmorea;2;L;H;NA
Acrobasis obliqua;5;F;B;NA
Acrobasis obtusella;4;L;H;NA
Acrobasis porphyrella;4;L;H;NA
Acrobasis repandana;1;L;H;NA
Acrobasis romanella;1;L;H;NA
Acrobasis sodalella;1;L;H;NA
Acrobasis suavella;4;L;H;NA
Acrobasis tumidana;1;L;H;NA
Acrocercops brongniardella;15;L;M;NA
Acrocercops cocciferellum;1;L;M;NA
Acrocercops tacita;1;L;M;NA
Acroclita guanchana;1;L;H;NA
Acroclita sonchana;3;L;H;NA
Acroclita subsequana;8;S;B;NA
Acroconidiella eschscholziae;1;L;F;NA
Acrodontiella fallopiae;1;L;F;NA
Acrolepia autumnitella;3;L;M;NA
Acrolepiopsis assectella;6;L;M;NA
Acrolepiopsis betulella;1;F;V;NA
Acrolepiopsis tauricella;1;L;M;NA
Acrolepiopsis vesperella;3;L;M;NA
Acronicta aceris;10;L;V;NA
Acronicta alni;18;L;V;NA
Acronicta auricoma;40;L;V;NA
Acronicta cuspis;1;L;V;NA
Acronicta euphorbiae;12;L;V;NA
Acronicta leporina;5;L;V;NA
Acronicta menyanthidis;13;L;V;NA
Acronicta orientalis;3;L;V;NA
Acronicta psi;25;L;V;NA
Acronicta rumicis;48;L;V;NA
Acronicta strigosa;6;L;V;NA
Acronicta tridens;12;L;V;NA
Acrorrhinium conspersum;7;L;V;NA
Acrospeira mirabilis;1;F;G;NA
Acrosternum breviceps;4;L;V;NA
Acrosternum heegeri;20;L;Pre;NA
Acrosternum insularum;2;L;V;NA
Acrosternum millierei;5;L;V;NA
Acrosternum rubescens;3;L;V;NA
Actebia praecox;24;L;V;NA
Actias isabelae;3;L;V;NA
Actinonotus pulcher;1;L;V;NA
Actinoptera discoidea;3;B;G;spring
Actinoptera mamulae;2;B;G;NA
Actinotia polyodon;2;L;V;NA
Actinotia radiosa;1;L;V;NA
Aculochetus esulae;1;L;V;NA
Aculodes altamurgiensis;1;L;V;NA
Aculodes caespiticolus;1;S;H;NA
Aculodes calamaabditus;1;L;V;NA
Aculodes capillarisi;1;L;V;NA
Aculodes deschampsiae;1;L;V;NA
Aculodes dubius;22;NA;I;NA
Aculodes festucae;1;L;V;NA
Aculodes holcusi;3;L;V;NA
Aculodes janboczeki;2;L;V;NA
Aculodes mckenziei;33;L;V;NA
Aculodes rubivagrans;2;L;V;NA
Aculodes sylvatici;1;L;V;NA
Aculops acericola;7;L;G;NA
Aculops aceris;2;NA;I;NA
Aculops allotrichus;1;L;G;NA
Aculops arianus;3;L;V;NA
Aculops ballotae;1;L;V;NA
Aculops benakii;1;L;V;NA
Aculops berochensis;1;L;V;NA
Aculops cannabicolus;1;L;V;NA
Aculops centaureae;2;L;V;NA
Aculops clinopodii;5;L;V;NA
Aculops coutierei;2;L;G;NA
Aculops coutieri;1;L;G;NA
Aculops crataegumplicans;2;L;G;NA
Aculops cuneatus;1;L;V;NA
Aculops cytisicolus;3;NA;I;NA
Aculops euphorbiae;5;L;V;NA
Aculops eximius;3;L;V;NA
Aculops floegeli;1;L;V;NA
Aculops fuchsiae;8;Sys;G;NA
Aculops glabriflorae;4;X;G;NA
Aculops gleditsiae;1;L;V;NA
Aculops granulatus;1;NA;I;NA
Aculops hamatus;3;L;V;NA
Aculops hellenicus;1;Sys;G;NA
Aculops knowltoni;3;L;V;NA
Aculops kostai;1;L;V;NA
Aculops lapponicus;2;L;V;NA
Aculops lathyri;2;L;V;NA
Aculops lepidii;1;L;G;NA
Aculops lycopersici;8;L;V;NA
Aculops macrotrichus;2;L;G;NA
Aculops macrotuberculatus;1;L;G;NA
Aculops magnolivora;1;L;V;NA
Aculops manzanitae;1;L;V;NA
Aculops maroccensis;1;X;G;NA
Aculops martonaroni;1;L;V;NA
Aculops montenegrinus;1;Sys;G;NA
Aculops niloticus;1;L;V;NA
Aculops oblongus;1;NA;I;NA
Aculops orlovacae;1;L;V;NA
Aculops pedicularis;4;L;G;NA
Aculops pelekassi;1;L;V;NA
Aculops platani;1;L;G;NA
Aculops rhodensis;3;L;V;NA
Aculops sybillae;1;L;V;NA
Aculops thymi;5;B;I;NA
Aculops undulatus;3;L;V;NA
Aculops unguiculatus;1;L;V;NA
Aculus acraspis;6;Sys;G;NA
Aculus aegirinus;1;NA;I;NA
Aculus alfalfae;1;L;V;NA
Aculus althaeus;1;L;V;NA
Aculus anthobius;19;B;G;NA
Aculus aphanotrichus;1;L;V;NA
Aculus argenteae;1;L;V;NA
Aculus arzakanensis;1;L;V;NA
Aculus atlantazaleae;2;L;V;NA
Aculus aucupariae;1;L;V;NA
Aculus ballei;4;L;V;NA
Aculus betuli;1;L;V;NA
Aculus blagayanae;1;X;V;NA
Aculus breviseta;2;L;V;NA
Aculus calcarifer;1;L;V;NA
Aculus castriferrei;1;L;V;NA
Aculus comatus;4;L;V;NA
Aculus convolvuli;1;L;G;NA
Aculus coronillae;3;L;G;NA
Aculus craspedobius;3;L;G;NA
Aculus cytisi;2;S;V;NA
Aculus daneki;1;L;V;NA
Aculus daphnes;1;L;G;NA
Aculus epiphyllus;4;L;G;NA
Aculus eurynotus;3;L;V;NA
Aculus fascigrans;1;L;V;NA
Aculus fockeui;8;L;V;NA
Aculus fraxini;3;L;G;NA
Aculus gemmarum;9;B;G;NA
Aculus glechomae;1;L;V;NA
Aculus hedysari;1;L;G;NA
Aculus helianthemi;2;L;V;NA
Aculus hippocastani;4;L;G;NA
Aculus hygrophilus;2;L;V;NA
Aculus hyperici;3;L;V;NA
Aculus juglandis;1;L;V;NA
Aculus karadagensis;1;L;V;NA
Aculus kerneri;9;Sys;G;NA
Aculus kochi;2;X;G;NA
Aculus lactucae;4;X;G;NA
Aculus laevis;4;L;G;NA
Aculus latus;2;L;V;NA
Aculus ligustri;2;L;V;NA
Aculus longifilis;3;L;G;NA
Aculus longisetus;1;L;V;NA
Aculus magnirostris;4;L;G;NA
Aculus malvae;1;L;V;NA
Aculus marinkovici;1;L;V;NA
