"taxon_name","n","native_to_europe","wcvp_accepted_id","family","genus","LifeCycle","Woodiness","woodiness","lifecycle"
"Abies sachalinensis",6,FALSE,381990,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies sibirica",20,TRUE,382001,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies veitchii",8,FALSE,382044,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abies × borisii-regis",9,TRUE,381664,"Pinaceae","Abies","Perennial","Woody","Woody","Perennial"
"Abutilon fruticosum",1,FALSE,2610628,"Malvaceae","Abutilon","Perennial","Woody","Woody","Perennial"
"Abutilon grandifolium",3,FALSE,2610654,"Malvaceae","Abutilon","Perennial","Woody","Woody","Perennial"
"Abutilon theophrasti",9,FALSE,2611008,"Malvaceae","Abutilon","Annual","Non-Woody","Non-Woody","Annual"
"Acacia acinacea",3,FALSE,2611102,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia applanata",1,FALSE,2611267,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia baileyana",3,FALSE,2611385,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia cultriformis",5,FALSE,2611815,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia cyclops",1,FALSE,2611847,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia dealbata",7,FALSE,2611879,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia decurrens",2,FALSE,2611901,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia dentifera",1,FALSE,2611938,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia floribunda",1,FALSE,2612237,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia ligulata",1,FALSE,2612797,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia longifolia",6,FALSE,2612825,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia mearnsii",3,FALSE,2612952,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia melanoxylon",1,FALSE,2612971,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia omalophylla",1,FALSE,2613216,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia podalyriifolia",1,FALSE,2613416,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia pycnantha",2,FALSE,2613563,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia retinodes",2,FALSE,2613616,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia saligna",27,FALSE,2613720,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acacia ulicifolia",2,FALSE,2614171,"Fabaceae","Acacia","Perennial","Woody","Woody","Perennial"
"Acaena magellanica",1,FALSE,2938368,"Rosaceae","Acaena","Perennial","Non-Woody","Non-Woody","Perennial"
"Acaena novae-zelandiae",1,FALSE,2938419,"Rosaceae","Acaena","Perennial","Non-Woody","Non-Woody","Perennial"
"Acalypha australis",1,FALSE,214,"Euphorbiaceae","Acalypha","Annual","Non-Woody","Non-Woody","Annual"
"Acalypha hispida",1,FALSE,689,"Euphorbiaceae","Acalypha","Perennial","Woody","Woody","Perennial"
"Acalypha wilkesiana",7,FALSE,1384,"Euphorbiaceae","Acalypha","Perennial","Woody","Woody","Perennial"
"Acantholimon avenaceum",1,FALSE,2614618,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial"
"Acantholimon caryophyllaceum",1,FALSE,2614658,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial"
"Acantholimon libanoticum",1,FALSE,2614805,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial"
"Acantholimon ulicinum",1,FALSE,2614968,"Plumbaginaceae","Acantholimon","Perennial",NA,NA,"Perennial"
"Acanthophyllum persicum",1,FALSE,3225392,"Caryophyllaceae","Acanthophyllum",NA,NA,NA,NA
"Acanthospermum hispidum",2,FALSE,2922485,"Asteraceae","Acanthospermum","Annual","Non-Woody","Non-Woody","Annual"
"Acanthus hungaricus",2,TRUE,2615256,"Acanthaceae","Acanthus","Perennial","Non-Woody","Non-Woody","Perennial"
"Acanthus mollis",11,TRUE,2615276,"Acanthaceae","Acanthus","Perennial","Non-Woody","Non-Woody","Perennial"
"Acanthus spinosus",4,TRUE,2615301,"Acanthaceae","Acanthus","Perennial","Non-Woody","Non-Woody","Perennial"
"Acer buergerianum",1,FALSE,2615419,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer campestre",249,TRUE,2615447,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer cappadocicum",6,TRUE,2615475,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer cappadocicum subsp. lobelii",2,TRUE,2615485,"Sapindaceae","Acer",NA,NA,"Woody","Perennial"
"Acer carpinifolium",1,FALSE,2615502,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer circinatum",5,FALSE,2615530,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer davidii",1,FALSE,2615577,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer davidii subsp. grosseri",1,FALSE,2615579,"Sapindaceae","Acer",NA,NA,"Woody","Perennial"
"Acer glabrum",1,FALSE,2615664,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer granatense",8,TRUE,2615687,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer heldreichii",8,TRUE,2615704,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer heldreichii subsp. trautvetteri",3,TRUE,2615708,"Sapindaceae","Acer",NA,NA,"Woody","Perennial"
"Acer hyrcanum",4,TRUE,2615738,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer hyrcanum subsp. intermedium",2,TRUE,2615741,"Sapindaceae","Acer",NA,NA,"Woody","Perennial"
"Acer hyrcanum subsp. stevenii",3,TRUE,2615747,"Sapindaceae","Acer",NA,NA,"Woody","Perennial"
"Acer japonicum",4,FALSE,2615790,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer macrophyllum",5,FALSE,2615900,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer mandshuricum",1,FALSE,2615913,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer miyabei",1,FALSE,2615945,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer monspessulanum",72,TRUE,2615976,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer monspessulanum subsp. cinerascens",2,FALSE,2615980,"Sapindaceae","Acer",NA,NA,"Woody","Perennial"
"Acer monspessulanum subsp. ibericum",1,FALSE,2615988,"Sapindaceae","Acer",NA,NA,"Woody","Perennial"
"Acer monspessulanum subsp. microphyllum",4,FALSE,2615994,"Sapindaceae","Acer",NA,NA,"Woody","Perennial"
"Acer negundo",42,FALSE,2616024,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer oblongum",1,FALSE,2616086,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer obtusifolium",8,TRUE,2616102,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer opalus",29,TRUE,2616113,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer opalus subsp. obtusatum",14,TRUE,2616128,"Sapindaceae","Acer",NA,NA,"Woody","Perennial"
"Acer palmatum",8,FALSE,2616153,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer pensylvanicum",3,FALSE,2616210,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer pictum",1,FALSE,2616218,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer platanoides",149,TRUE,2616254,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer pseudoplatanus",227,TRUE,2616276,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer pseudosieboldianum",1,FALSE,2616285,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer rubrum",8,FALSE,2616329,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer saccharinum",29,FALSE,2616367,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer saccharum",8,FALSE,2616387,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer sempervirens",10,TRUE,2616440,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer spicatum",2,FALSE,2616481,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer tataricum",30,TRUE,2616524,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer tataricum subsp. ginnala",10,FALSE,2616532,"Sapindaceae","Acer",NA,NA,"Woody","Perennial"
"Acer tataricum subsp. semenovii",2,FALSE,2616538,"Sapindaceae","Acer",NA,NA,"Woody","Perennial"
"Acer undulatum",7,FALSE,2616614,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Acer velutinum",2,FALSE,2616618,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial"
"Achillea abrotanoides",2,TRUE,3109673,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial"
"Achillea ageratifolia",3,TRUE,3196452,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea ageratifolia subsp. serbica",1,TRUE,3240080,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea ageratum",1,TRUE,3109591,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea alpina",3,FALSE,2906148,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea arabica",14,TRUE,3109737,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea asiatica",1,TRUE,3109741,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea aspleniifolia",6,TRUE,2908979,"Asteraceae","Achillea",NA,"Non-Woody","Non-Woody","Perennial"
"Achillea atrata",4,TRUE,3109793,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea biserrata",4,FALSE,3109820,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea chamaemelifolia",1,TRUE,3109832,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea chrysocoma",1,TRUE,3109835,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea clavennae",12,TRUE,3109848,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea clusiana",3,TRUE,3109852,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea clypeolata",4,TRUE,3109853,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea coarctata",4,TRUE,3109861,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea cretica",1,TRUE,3109870,"Asteraceae","Achillea","Perennial","Woody","Woody","Perennial"
"Achillea crithmifolia",4,TRUE,3109769,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea cucullata",1,FALSE,3109770,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea distans",7,TRUE,3109878,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea distans subsp. stricta",7,TRUE,3240083,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea distans subsp. tanacetifolia",3,TRUE,3109894,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea erba-rotta",2,TRUE,3109895,"Asteraceae","Achillea","Perennial","Woody","Woody","Perennial"
"Achillea erba-rotta subsp. moschata",11,TRUE,3109912,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea euxina",1,TRUE,3109914,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea filipendulina",11,FALSE,3109923,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea glaberrima",2,TRUE,3109939,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea goniocephala",1,FALSE,3109940,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea grandifolia",3,TRUE,3109941,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial"
"Achillea holosericea",1,TRUE,3109954,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial"
"Achillea impatiens",3,TRUE,3109963,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea kotschyi",1,TRUE,3109969,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea leptophylla",1,TRUE,3109982,"Asteraceae","Achillea",NA,"Non-Woody","Non-Woody","Perennial"
"Achillea ligustica",12,TRUE,3109986,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea lingulata",2,TRUE,3109990,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea macrophylla",5,TRUE,3109996,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea maritima",5,TRUE,3109998,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea micrantha",5,TRUE,3110023,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea millefolium",281,TRUE,2908230,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea millefolium subsp. alpestris",3,TRUE,2909358,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea millefolium subsp. millefolium",1,TRUE,3265623,"Asteraceae","Achillea",NA,"Non-Woody","Non-Woody","Perennial"
"Achillea nana",5,TRUE,3110043,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea nobilis",22,TRUE,3110044,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea nobilis subsp. neilreichii",4,TRUE,3110066,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea ochroleuca",7,TRUE,3110072,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial"
"Achillea odorata",14,TRUE,3110082,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea oxyloba subsp. schurii",1,TRUE,3110089,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea pannonica",8,TRUE,3110094,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea phrygia",3,FALSE,3110097,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea pseudopectinata",2,TRUE,3109604,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial"
"Achillea ptarmica",59,TRUE,3109605,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea ptarmicifolia",2,FALSE,3110131,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea pyrenaica",1,TRUE,3110135,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial"
"Achillea roseoalba",2,TRUE,3110137,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achillea salicifolia",10,TRUE,3110151,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea setacea",21,TRUE,2908241,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea sintenisii",1,FALSE,3110174,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial"
"Achillea sipikorensis",1,FALSE,3110175,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial"
"Achillea taygetea",1,TRUE,3110183,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial"
"Achillea tenuifolia",4,FALSE,3110192,"Asteraceae","Achillea","Perennial","Woody","Woody","Perennial"
"Achillea teretifolia",1,FALSE,3110194,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial"
"Achillea tomentosa",3,TRUE,2909026,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial"
"Achillea umbellata",2,TRUE,3110199,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial"
"Achillea wilhelmsii",1,FALSE,3109777,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial"
"Achnatherum bromoides",5,TRUE,387254,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial"
"Achnatherum calamagrostis",16,TRUE,387255,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial"
"Achnatherum paradoxum",2,TRUE,523782,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial"
"Achnatherum parviflorum",6,TRUE,539640,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial"
"Achnatherum pekinense",1,FALSE,387140,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial"
"Achnatherum sibiricum",1,FALSE,387154,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial"
"Achnatherum virescens",3,TRUE,524566,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial"
"Achyranthes aspera",1,TRUE,2617475,"Amaranthaceae","Achyranthes","Perennial","Non-Woody","Non-Woody","Perennial"
"Achyranthes aspera var. sicula",1,TRUE,2617494,"Amaranthaceae","Achyranthes",NA,NA,"Non-Woody","Perennial"
"Acmella ciliata",1,FALSE,3123723,"Asteraceae","Acmella","Perennial","Non-Woody","Non-Woody","Perennial"
"Acokanthera oblongifolia",1,FALSE,2164,"Apocynaceae","Acokanthera","Perennial","Woody","Woody","Perennial"
"Aconitum anthora",2,TRUE,2618374,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum anthora subsp. anthora",1,TRUE,3310057,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial"
"Aconitum barbatum",2,FALSE,2618419,"Ranunculaceae","Aconitum",NA,"Non-Woody","Non-Woody","Perennial"
"Aconitum carmichaelii",2,FALSE,2618501,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum degenii",4,TRUE,2618605,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum firmum",5,TRUE,2618699,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum fischeri",1,FALSE,2618710,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial"
"Aconitum lamarckii",9,TRUE,2618952,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial"
"Aconitum lasiocarpum",2,TRUE,2618958,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial"
"Aconitum lasiostomum",1,TRUE,2618961,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial"
"Aconitum lycoctonum",16,TRUE,2619019,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum moldavicum",5,TRUE,2619078,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial"
"Aconitum napellus",21,TRUE,2619110,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum napellus subsp. lusitanicum",3,TRUE,2619166,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial"
"Aconitum orientale",2,FALSE,2619270,"Ranunculaceae","Aconitum",NA,"Non-Woody","Non-Woody","Perennial"
"Aconitum plicatum",3,TRUE,2619355,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum septentrionale",11,TRUE,2619505,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum tauricum",4,TRUE,2619611,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum toxicum",2,TRUE,2619640,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial"
"Aconitum variegatum",15,TRUE,2619691,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum volubile",1,FALSE,2619747,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum vulparia",13,TRUE,2619756,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Aconitum yuparense",1,FALSE,2619809,"Ranunculaceae","Aconitum","Perennial",NA,"Non-Woody","Perennial"
"Aconitum × cammarum",9,TRUE,2618485,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial"
"Acorus calamus",8,FALSE,2304,"Acoraceae","Acorus","Perennial","Non-Woody","Non-Woody","Perennial"
"Acorus gramineus",1,FALSE,2322,"Acoraceae","Acorus","Perennial","Non-Woody","Non-Woody","Perennial"
"Acrospelion distichophyllum",4,TRUE,533047,"Poaceae","Acrospelion","Perennial","Non-Woody","Non-Woody","Perennial"
"Actaea cordifolia",1,FALSE,2620528,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial"
"Actaea dahurica",1,FALSE,2620530,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial"
"Actaea erythrocarpa",1,TRUE,2620535,"Ranunculaceae","Actaea",NA,NA,"Non-Woody","Perennial"
"Actaea europaea",6,TRUE,2620536,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial"
"Actaea japonica",1,FALSE,2620541,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial"
"Actaea pachypoda",3,FALSE,2620557,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial"
"Actaea racemosa",2,FALSE,2620567,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial"
"Actaea rubra",4,FALSE,2620570,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial"
"Actaea simplex",1,FALSE,2620576,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial"
"Actaea spicata",16,TRUE,2620577,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial"
"Actinidia chinensis",8,FALSE,2620644,"Actinidiaceae","Actinidia","Perennial","Woody","Woody","Perennial"
"Actinidia chinensis var. deliciosa",8,FALSE,2874080,"Actinidiaceae","Actinidia","Perennial","Woody","Woody","Perennial"
"Adelocaryum coelestinum",2,FALSE,2621176,"Boraginaceae","Adelocaryum","Perennial","Non-Woody","Non-Woody","Perennial"
"Adenocarpus complicatus",21,TRUE,2621654,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial"
"Adenocarpus complicatus subsp. aureus",1,TRUE,2621656,"Fabaceae","Adenocarpus",NA,NA,"Woody","Perennial"
"Adenocarpus complicatus subsp. samniticus",2,TRUE,2913484,"Fabaceae","Adenocarpus",NA,NA,"Woody","Perennial"
"Adenocarpus decorticans",2,TRUE,2621666,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial"
"Adenocarpus foliolosus",30,FALSE,2621673,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial"
"Adenocarpus hispanicus",5,TRUE,2621679,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial"
"Adenocarpus telonensis",1,TRUE,2621699,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial"
"Adenocarpus viscosus",20,FALSE,2621704,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial"
"Adenophora liliifolia",4,TRUE,360310,"Campanulaceae","Adenophora","Perennial","Non-Woody","Non-Woody","Perennial"
"Adenostyles alliariae",31,TRUE,3086712,"Asteraceae","Adenostyles","Perennial","Non-Woody","Non-Woody","Perennial"
"Adenostyles alpina",18,TRUE,3086733,"Asteraceae","Adenostyles","Perennial","Non-Woody","Non-Woody","Perennial"
"Adenostyles alpina subsp. pyrenaica",4,TRUE,3086755,"Asteraceae","Adenostyles",NA,NA,"Non-Woody","Perennial"
"Adenostyles australis",2,TRUE,3086759,"Asteraceae","Adenostyles",NA,NA,"Non-Woody","Perennial"
"Adenostyles leucophylla",6,TRUE,3086778,"Asteraceae","Adenostyles","Perennial","Non-Woody","Non-Woody","Perennial"
"Adiantum capillus-veneris",6,TRUE,3147345,"Pteridaceae","Adiantum","Perennial","Non-Woody","Non-Woody","Perennial"
"Adonis aestivalis",7,TRUE,2623039,"Ranunculaceae","Adonis","Annual","Non-Woody","Non-Woody","Annual"
"Adonis annua",3,TRUE,2623065,"Ranunculaceae","Adonis","Annual","Non-Woody","Non-Woody","Annual"
"Adonis distorta",1,TRUE,2623126,"Ranunculaceae","Adonis","Perennial","Non-Woody","Non-Woody","Perennial"
"Adonis flammea",3,TRUE,2623131,"Ranunculaceae","Adonis","Annual","Non-Woody","Non-Woody","Annual"
