"taxon_name","n","native_to_europe","wcvp_accepted_id","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","min_fr"
"Acer pseudosieboldianum",1,FALSE,2616285,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",2017
"Acer rubrum",8,FALSE,2616329,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",2006
"Acer saccharinum",29,FALSE,2616367,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1807
"Acer saccharum",8,FALSE,2616387,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1912
"Acer sempervirens",10,TRUE,2616440,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer spicatum",2,FALSE,2616481,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1931
"Acer tataricum",30,TRUE,2616524,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",1805
"Acer tataricum subsp. ginnala",10,FALSE,2616532,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA
"Acer tataricum subsp. semenovii",2,FALSE,2616538,"Sapindaceae","Acer",NA,NA,"Woody","Perennial",NA
"Acer undulatum",7,FALSE,2616614,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Acer velutinum",2,FALSE,2616618,"Sapindaceae","Acer","Perennial","Woody","Woody","Perennial",NA
"Achillea abrotanoides",2,TRUE,3109673,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA
"Achillea ageratifolia",3,TRUE,3196452,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea ageratifolia subsp. serbica",1,TRUE,3240080,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea ageratum",1,TRUE,3109591,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1945
"Achillea alpina",3,FALSE,2906148,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea arabica",14,TRUE,3109737,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea asiatica",1,TRUE,3109741,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea aspleniifolia",6,TRUE,2908979,"Asteraceae","Achillea",NA,"Non-Woody","Non-Woody","Perennial",NA
"Achillea atrata",4,TRUE,3109793,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea biserrata",4,FALSE,3109820,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea chamaemelifolia",1,TRUE,3109832,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea chrysocoma",1,TRUE,3109835,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea clavennae",12,TRUE,3109848,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea clusiana",3,TRUE,3109852,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea clypeolata",4,TRUE,3109853,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea coarctata",4,TRUE,3109861,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea cretica",1,TRUE,3109870,"Asteraceae","Achillea","Perennial","Woody","Woody","Perennial",NA
"Achillea crithmifolia",4,TRUE,3109769,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1760
"Achillea cucullata",1,FALSE,3109770,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea distans",7,TRUE,3109878,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1844
"Achillea distans subsp. stricta",7,TRUE,3240083,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea distans subsp. tanacetifolia",3,TRUE,3109894,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea erba-rotta",2,TRUE,3109895,"Asteraceae","Achillea","Perennial","Woody","Woody","Perennial",NA
"Achillea erba-rotta subsp. moschata",11,TRUE,3109912,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea euxina",1,TRUE,3109914,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea filipendulina",11,FALSE,3109923,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1870
"Achillea glaberrima",2,TRUE,3109939,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea goniocephala",1,FALSE,3109940,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea grandifolia",3,TRUE,3109941,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",1945
"Achillea holosericea",1,TRUE,3109954,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA
"Achillea impatiens",3,TRUE,3109963,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea kotschyi",1,TRUE,3109969,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea leptophylla",1,TRUE,3109982,"Asteraceae","Achillea",NA,"Non-Woody","Non-Woody","Perennial",NA
"Achillea ligustica",12,TRUE,3109986,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1900
"Achillea lingulata",2,TRUE,3109990,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea macrophylla",5,TRUE,3109996,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1950
"Achillea maritima",5,TRUE,3109998,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea micrantha",5,TRUE,3110023,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1930
"Achillea millefolium",281,TRUE,2908230,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1662
"Achillea millefolium subsp. alpestris",3,TRUE,2909358,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea millefolium subsp. millefolium",1,TRUE,3265623,"Asteraceae","Achillea",NA,"Non-Woody","Non-Woody","Perennial",NA
"Achillea nana",5,TRUE,3110043,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea nobilis",22,TRUE,3110044,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1700
"Achillea nobilis subsp. neilreichii",4,TRUE,3110066,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea ochroleuca",7,TRUE,3110072,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA
"Achillea odorata",14,TRUE,3110082,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea oxyloba subsp. schurii",1,TRUE,3110089,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea pannonica",8,TRUE,3110094,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achillea phrygia",3,FALSE,3110097,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea pseudopectinata",2,TRUE,3109604,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA
"Achillea ptarmica",59,TRUE,3109605,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1838
"Achillea ptarmicifolia",2,FALSE,3110131,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea pyrenaica",1,TRUE,3110135,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA
"Achillea roseoalba",2,TRUE,3110137,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achillea salicifolia",10,TRUE,3110151,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1874
"Achillea setacea",21,TRUE,2908241,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1885
"Achillea sintenisii",1,FALSE,3110174,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA
"Achillea sipikorensis",1,FALSE,3110175,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA
"Achillea taygetea",1,TRUE,3110183,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA
"Achillea tenuifolia",4,FALSE,3110192,"Asteraceae","Achillea","Perennial","Woody","Woody","Perennial",NA
"Achillea teretifolia",1,FALSE,3110194,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA
"Achillea tomentosa",3,TRUE,2909026,"Asteraceae","Achillea","Perennial","Non-Woody","Non-Woody","Perennial",1895
"Achillea umbellata",2,TRUE,3110199,"Asteraceae","Achillea","Perennial",NA,"Non-Woody","Perennial",NA
"Achillea wilhelmsii",1,FALSE,3109777,"Asteraceae","Achillea",NA,NA,"Non-Woody","Perennial",NA
"Achnatherum bromoides",5,TRUE,387254,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial",1824
"Achnatherum calamagrostis",16,TRUE,387255,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial",1835
"Achnatherum paradoxum",2,TRUE,523782,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achnatherum parviflorum",6,TRUE,539640,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achnatherum pekinense",1,FALSE,387140,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achnatherum sibiricum",1,FALSE,387154,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achnatherum virescens",3,TRUE,524566,"Poaceae","Achnatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achyranthes aspera",1,TRUE,2617475,"Amaranthaceae","Achyranthes","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Achyranthes aspera var. sicula",1,TRUE,2617494,"Amaranthaceae","Achyranthes",NA,NA,"Non-Woody","Perennial",1887
"Acmella ciliata",1,FALSE,3123723,"Asteraceae","Acmella","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Acokanthera oblongifolia",1,FALSE,2164,"Apocynaceae","Acokanthera","Perennial","Woody","Woody","Perennial",NA
"Aconitum anthora",2,TRUE,2618374,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aconitum anthora subsp. anthora",1,TRUE,3310057,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial",NA
"Aconitum barbatum",2,FALSE,2618419,"Ranunculaceae","Aconitum",NA,"Non-Woody","Non-Woody","Perennial",NA
"Aconitum carmichaelii",2,FALSE,2618501,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aconitum degenii",4,TRUE,2618605,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aconitum firmum",5,TRUE,2618699,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aconitum fischeri",1,FALSE,2618710,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial",NA
"Aconitum lamarckii",9,TRUE,2618952,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial",NA
"Aconitum lasiocarpum",2,TRUE,2618958,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial",NA
"Aconitum lasiostomum",1,TRUE,2618961,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial",1993
"Aconitum lycoctonum",16,TRUE,2619019,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",1880
"Aconitum moldavicum",5,TRUE,2619078,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial",NA
"Aconitum napellus",21,TRUE,2619110,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",1807
"Aconitum napellus subsp. lusitanicum",3,TRUE,2619166,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial",NA
"Aconitum orientale",2,FALSE,2619270,"Ranunculaceae","Aconitum",NA,"Non-Woody","Non-Woody","Perennial",NA
"Aconitum plicatum",3,TRUE,2619355,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aconitum septentrionale",11,TRUE,2619505,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aconitum tauricum",4,TRUE,2619611,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aconitum toxicum",2,TRUE,2619640,"Ranunculaceae","Aconitum",NA,NA,"Non-Woody","Perennial",NA
"Aconitum variegatum",15,TRUE,2619691,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",1851
"Aconitum volubile",1,FALSE,2619747,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aconitum vulparia",13,TRUE,2619756,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aconitum yuparense",1,FALSE,2619809,"Ranunculaceae","Aconitum","Perennial",NA,"Non-Woody","Perennial",NA
"Aconitum × cammarum",9,TRUE,2618485,"Ranunculaceae","Aconitum","Perennial","Non-Woody","Non-Woody","Perennial",1819
"Acorus calamus",8,FALSE,2304,"Acoraceae","Acorus","Perennial","Non-Woody","Non-Woody","Perennial",1500
"Acorus gramineus",1,FALSE,2322,"Acoraceae","Acorus","Perennial","Non-Woody","Non-Woody","Perennial",1977
"Acrospelion distichophyllum",4,TRUE,533047,"Poaceae","Acrospelion","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Actaea cordifolia",1,FALSE,2620528,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Actaea dahurica",1,FALSE,2620530,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Actaea erythrocarpa",1,TRUE,2620535,"Ranunculaceae","Actaea",NA,NA,"Non-Woody","Perennial",NA
"Actaea europaea",6,TRUE,2620536,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Actaea japonica",1,FALSE,2620541,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Actaea pachypoda",3,FALSE,2620557,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Actaea racemosa",2,FALSE,2620567,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",1993
"Actaea rubra",4,FALSE,2620570,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",1900
"Actaea simplex",1,FALSE,2620576,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Actaea spicata",16,TRUE,2620577,"Ranunculaceae","Actaea","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Actinidia chinensis",8,FALSE,2620644,"Actinidiaceae","Actinidia","Perennial","Woody","Woody","Perennial",1972
"Actinidia chinensis var. deliciosa",8,FALSE,2874080,"Actinidiaceae","Actinidia","Perennial","Woody","Woody","Perennial",2000
"Adelocaryum coelestinum",2,FALSE,2621176,"Boraginaceae","Adelocaryum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Adenocarpus complicatus",21,TRUE,2621654,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial",NA
"Adenocarpus complicatus subsp. aureus",1,TRUE,2621656,"Fabaceae","Adenocarpus",NA,NA,"Woody","Perennial",NA
"Adenocarpus complicatus subsp. samniticus",2,TRUE,2913484,"Fabaceae","Adenocarpus",NA,NA,"Woody","Perennial",NA
"Adenocarpus decorticans",2,TRUE,2621666,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial",NA
"Adenocarpus foliolosus",30,FALSE,2621673,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial",NA
"Adenocarpus hispanicus",5,TRUE,2621679,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial",NA
"Adenocarpus telonensis",1,TRUE,2621699,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial",NA
"Adenocarpus viscosus",20,FALSE,2621704,"Fabaceae","Adenocarpus","Perennial","Woody","Woody","Perennial",NA
"Adenophora liliifolia",4,TRUE,360310,"Campanulaceae","Adenophora","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Adenostyles alliariae",31,TRUE,3086712,"Asteraceae","Adenostyles","Perennial","Non-Woody","Non-Woody","Perennial",1953
"Adenostyles alpina",18,TRUE,3086733,"Asteraceae","Adenostyles","Perennial","Non-Woody","Non-Woody","Perennial",NA
